RESPID;DEVICETYPE;Q1;Q2;Q3;Q4;Q5;Q6;Q9A;Q9B;Q9C;Q9D;Q9E;Q9F;Q9G;Q9H;Q9I;Q9J;Q9K;Q10A;Q10B;Q10C;Q10D;Q11A;Q11B;Q11C;Q11D;Q11E;Q11F;Q13A;Q13B;Q13C;Q13D;Q13E;Q13F;Q13G;Q14A;Q14B;Q14C;Q14D;Q14E;Q15A;Q15B;Q15C;Q15D;Q15E;Q15F;Q15G;Q15H;Q15I;Q15J;Q15K;Q15AA;Q15AB;Q15AC;Q15AD;Q15AE;Q15AF;Q15AG;Q15AH;Q15AI;Q15AJ;Q15AK;Q15AL;Q15AM;Q15AN;Q16A;Q16B;Q16C;Q16D;Q16E;Q16F;Q16G;Q16H;Q16I;Q16J;Q16K;Q16L;Q16M;Q16N;Q16O;Q16P;Q17A;Q17B;Q17C;Q17D;Q17E;Q17F;Q17G;Q17H;Q17I;Q17J;Q17K;Q17L;Q17M;Q17N;Q17O;Q17P;Q17Q;Q17R;Q18A;Q18B;Q18C;Q18D;Q18E;Q18F;Q18G;Q18H;Q19A;Q19B;Q19C;Q20A;Q20B;Q20C;Q20D;Q20E;Q22A;Q22B;Q22C;Q22D;Q22E;Q22F;Q23A;Q23B;Q23C;Q23D;Q23E;Q23H;Q23I;Q23J;Q24;Q25;Q26A;Q26B;Q26C;Q26D;Q26E;Q28A;Q28B;Q28C;Q28D;Q29;Q30;Q31;Q32;Q27A;Q27B;Q27C;Q27D;Q33A;Q33B;Q33C;Q33D;Q33G;Q21;INT5;Z8;Z8A;EDUCATION;EDUC;Z4;Z5;EMPLOY;Z9;Z9A;Z9B;NEWINCOME;VOTER;PAGEFINAL;PGENDER;PRACE;PREGION;PMSTATUS;PADULTS;PPARENT;PAGE1;PAGE2;PRELIGION;LENGTH;WEIGHT1_TRIM;I_GENDER;I_AGE;I_MARITAL;I_REGION;I_RELIGION
420;1;3;7;5;2;1;1;2;5;6;2;2;6;6;1;6;6;3;4;4;4;4;4;4;3;4;4;4;4;5;5;5;4;4;4;4;3;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;4;3;4;3;4;3;4;4;3;4;4;2;4;3;4;4;4;4;4;3;2;4;3;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;3;3;4;4;4;5;3;4;3;4;5;5;4;3;3;4;2;2;3;4;2;3;3;2;3;3;2;3;2;3;2;3;3;3;2;1;3;2;3;3;3;2;2;2;2;2;2;3;2;3;2;3;3;3;4;2;3;2;2;3;3;;3;2;3;1;3;6;;;6;2;4;2;1;2;3;2;2;81;;8;21,73333333;3,794;2;;3;2;1
421;2;4;8;2;6;6;2;6;1;6;6;6;6;6;3;6;2;4;2;1;3;2;2;2;2;3;2;1;2;4;2;1;3;3;4;4;4;1;3;1;2;2;3;3;3;2;3;3;1;1;2;1;1;1;4;3;4;4;4;4;1;1;3;2;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;2;4;4;4;3;2;3;4;4;3;3;4;4;2;4;2;3;2;4;4;3;4;3;2;2;2;4;4;1;4;3;1;2;2;2;3;1;2;1;3;2;3;1;2;2;2;4;3;2;2;4;2;1;1;1;1;2;3;1;2;2;4;2;2;1;4;4;4;1;1;4;2;4;3;3;3;5;2;;;2;1;1;1;3;3;1;3;2;18;;2;7,85;0,786;1;;1;3;2
422;4;2;4;3;5;6;2;4;6;2;2;6;5;2;1;4;3;3;2;1;2;1;2;2;2;3;3;2;1;2;2;2;3;4;3;3;3;3;3;3;4;3;4;3;4;3;4;4;3;2;4;3;4;3;3;3;4;4;4;3;2;2;3;4;3;4;4;4;4;3;3;3;3;4;3;4;3;3;4;3;3;3;4;3;4;3;2;3;4;3;3;3;3;3;4;3;3;4;3;1;1;4;2;4;4;3;3;3;3;4;1;2;2;2;3;4;2;2;2;2;3;1;3;2;3;2;3;3;2;2;2;3;2;3;2;2;1;1;1;1;2;2;2;2;3;2;2;3;1;1;4;3;3;2;2;4;2;4;3;1;;1;5;;;5;1;2;2;5;1;2;2;1;42;;2;11,18333333;0,4729;2;;2;1;2
423;1;4;9;2;2;2;3;1;6;2;3;6;6;6;3;6;6;6;3;3;3;3;3;3;3;3;3;3;4;5;5;5;3;4;3;4;4;3;3;3;4;4;3;4;2;3;4;4;3;4;3;2;2;1;3;3;4;3;3;3;2;2;2;3;2;4;4;3;3;4;4;3;4;3;4;2;3;1;4;4;2;3;4;4;4;3;4;4;4;4;4;2;2;4;4;1;2;2;3;3;3;3;3;4;3;3;2;4;1;3;3;2;2;3;4;2;2;3;3;3;3;2;2;2;2;1;3;2;3;1;2;3;1;3;3;3;3;2;2;2;2;1;3;2;3;2;3;3;3;2;3;3;3;2;2;3;;3;2;3;1;3;4;;;4;1;4;2;1;3;6;1;2;74;;1;24,06666667;0,3353;2;;4;3;1
425;4;3;2;4;5;4;2;2;4;3;4;4;4;5;3;3;4;4;3;2;3;2;2;2;2;2;2;2;3;5;2;3;3;3;3;3;4;2;2;2;4;4;4;4;4;4;4;4;3;3;4;4;4;3;3;2;4;3;3;4;4;4;4;4;3;4;4;4;3;3;2;4;4;4;4;3;2;4;4;4;4;4;4;4;4;3;3;4;4;3;4;3;3;4;4;3;3;4;4;4;3;4;3;4;4;3;3;1;1;2;2;3;3;1;2;3;3;1;1;1;4;1;4;1;3;4;4;4;3;2;2;4;4;3;3;2;2;2;2;2;2;1;1;1;1;2;3;2;3;2;3;4;3;1;2;3;;3;2;1;;1;6;;;6;1;999;1;2;1;1;3;2;99;999;990;23,06666667;0,3592;1;;1;1;5
429;1;4;9;1;2;2;1;5;5;2;4;5;6;6;2;6;5;3;4;2;4;3;3;2;3;4;4;3;4;4;4;4;4;4;4;2;3;2;3;3;3;2;3;3;4;3;3;3;3;3;3;3;4;2;4;2;4;1;4;2;2;2;2;2;2;4;4;3;4;4;3;3;4;4;4;4;4;2;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;3;4;3;3;3;2;3;4;3;4;4;3;4;2;4;2;3;1;1;1;3;4;1;3;3;4;4;2;1;3;3;2;2;4;2;2;2;1;3;1;4;4;4;2;2;2;3;2;2;2;1;3;2;1;3;2;2;3;2;1;1;2;6;;6;4;1;;1;8;;2;13;1;4;1;1;3;3;2;2;66;;1;16,61666667;0,2554;1;;3;3;1
430;2;3;5;1;2;2;1;5;6;1;1;1;1;3;1;3;2;6;3;3;4;4;3;3;3;4;2;3;3;5;4;5;4;4;4;3;3;3;3;3;4;4;4;4;4;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;3;3;4;3;4;4;4;4;4;4;4;4;4;4;3;3;2;3;3;3;2;2;3;3;2;3;2;3;2;2;2;3;3;3;2;2;3;2;3;3;3;3;3;3;3;1;1;1;1;3;3;3;1;3;2;3;3;3;1;2;4;2;4;3;3;1;3;6;;;6;1;4;1;1;4;3;2;2;71;;5;16,18333333;0,4719;1;;3;4;1
431;1;4;7;2;2;1;1;6;6;1;6;4;6;6;1;6;3;6;4;4;4;4;4;4;4;4;4;4;3;4;3;2;4;4;4;4;4;2;1;1;4;4;4;4;4;2;4;4;4;3;4;4;4;3;4;3;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;3;3;4;4;2;3;3;4;4;1;2;4;4;1;3;4;3;4;2;2;4;2;3;3;2;3;3;2;2;1;1;1;1;3;1;2;3;4;2;3;2;3;1;1;6;;6;4;1;;1;8;;2;13;1;2;1;1;4;3;2;1;42;;2;11,23333333;0,5693;1;;3;4;2
433;4;3;4;2;4;7;2;6;6;3;2;6;4;6;4;6;6;1;1;1;1;1;4;4;4;-1;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;4;4;4;4;4;4;4;4;4;2;2;2;2;3;3;3;3;1;1;4;1;1;2;1;5;;5;3;1;;1;5;;;5;1;2;2;2;2;6;3;2;45;;1;13,36666667;0,6641;2;;4;2;1
435;2;3;5;3;6;6;2;2;4;2;2;6;4;2;2;6;1;1;3;3;3;3;3;3;3;3;3;3;2;5;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;2;3;4;4;4;4;3;2;4;4;2;4;3;2;3;3;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;3;4;4;3;4;4;4;4;4;4;3;4;4;4;3;4;3;4;2;4;1;4;4;1;5;4;3;4;1;2;2;2;2;4;2;2;2;2;3;2;2;1;2;2;4;2;2;2;2;4;4;1;1;1;2;2;2;2;2;2;2;2;2;1;2;3;1;1;4;4;4;1;2;8;;8;4;1;;1;6;;;6;1;3;1;1;3;6;1;1;53;;24;11,3;0,328;1;;4;3;1
436;2;2;1;3;4;4;2;4;4;1;2;2;3;2;1;5;1;1;2;2;3;4;3;3;2;2;2;2;3;5;4;4;4;4;4;4;3;2;3;3;3;3;3;3;4;3;3;4;4;3;4;2;2;2;3;2;4;3;3;4;3;3;3;4;3;4;4;4;3;3;3;4;4;4;4;2;3;4;4;4;4;3;4;4;4;3;4;4;4;3;3;4;4;2;4;3;3;4;3;3;2;3;3;4;4;2;3;3;3;4;3;2;2;3;4;2;2;2;2;3;3;2;3;2;3;2;3;3;3;2;2;3;4;2;2;3;2;2;1;2;2;2;3;2;2;3;3;3;1;1;4;4;4;1;2;4;2;4;3;2;;2;6;;;6;1;4;1;1;2;2;2;2;67;;990;18;0,415;1;;2;2;5
437;4;2;2;3;2;2;1;5;5;2;6;3;6;6;4;6;3;2;3;3;3;3;4;4;4;4;4;4;3;5;4;5;4;4;4;4;4;3;2;1;4;4;4;4;4;4;4;4;3;4;4;2;4;2;4;4;4;3;4;2;2;4;4;3;4;4;4;3;4;4;4;4;4;3;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;2;4;4;4;3;4;4;3;4;2;3;4;3;3;3;4;1;3;3;3;4;3;2;3;3;2;2;3;3;4;2;2;4;3;3;4;3;3;3;3;4;1;1;3;1;3;1;2;2;3;4;4;2;2;1;1;4;1;3;3;3;1;3;5;;;5;1;4;1;1;4;3;2;2;71;;990;30,68333333;0,9831;1;;3;4;5
439;4;4;8;2;1;1;4;6;6;5;6;6;6;6;4;6;5;3;3;3;3;3;3;2;3;4;3;4;2;5;3;5;2;3;4;3;4;3;3;2;3;4;4;4;4;4;4;4;3;4;4;3;4;3;2;3;3;1;3;2;3;3;2;3;3;3;3;3;3;3;3;3;1;3;4;1;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;4;3;3;4;3;4;4;2;2;4;2;4;4;4;4;3;3;1;1;4;1;1;4;4;1;4;4;4;4;1;2;4;3;2;4;4;4;4;1;2;3;1;3;4;4;4;4;4;4;2;2;3;1;2;2;2;4;4;3;3;2;1;1;1;3;;3;2;3;1;3;4;;;4;2;3;1;1;2;3;2;2;58;;23;10,38333333;1,7609;1;;3;2;3
441;1;1;2;3;4;4;2;1;4;1;4;5;5;5;2;4;5;3;2;2;2;1;2;2;3;3;3;2;3;5;4;4;2;3;2;4;4;2;2;2;2;4;2;3;2;3;4;4;2;3;3;3;4;3;2;3;4;3;2;3;2;2;1;1;1;4;4;2;4;4;3;4;4;4;4;3;4;4;4;3;4;3;3;2;4;2;3;4;4;3;3;3;3;4;4;2;3;3;1;2;2;3;3;4;4;2;2;4;2;3;3;3;1;3;4;2;4;4;3;3;3;2;3;1;2;2;4;4;3;2;1;4;3;2;3;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;3;3;3;1;1;4;2;4;3;2;;2;6;;;6;1;3;1;1;2;3;2;2;57;;990;15,58333333;0,2589;1;;3;2;5
442;1;4;9;1;2;3;1;4;5;3;5;2;2;3;4;6;6;5;3;2;4;3;4;4;4;4;4;4;4;5;5;5;3;4;4;3;2;2;2;3;4;3;3;3;4;3;3;4;3;4;3;3;4;4;3;3;4;2;4;3;3;3;3;3;3;4;4;3;3;3;2;3;4;4;4;3;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;3;3;3;3;3;4;3;3;3;4;3;2;3;2;4;4;2;2;3;4;2;2;4;3;3;3;2;3;2;3;2;2;3;4;2;2;3;2;3;3;3;3;3;3;3;2;2;3;1;4;2;2;4;4;2;3;3;2;1;2;7;;7;4;3;1;3;8;;1;12;1;4;1;1;3;3;2;2;67;;2;20,68333333;1,1609;1;;3;3;2
443;1;4;8;2;5;7;2;2;6;3;1;4;1;1;1;4;6;2;1;1;4;4;1;1;1;1;1;1;1;5;1;1;4;4;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;1;4;3;3;1;2;1;4;4;4;3;1;3;4;1;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;4;2;1;4;4;2;1;4;1;4;1;4;4;1;1;1;1;2;2;2;3;4;1;4;1;1;4;2;4;3;1;4;4;1;1;2;1;4;1;4;1;4;1;1;1;1;1;1;3;1;1;4;2;1;1;1;4;4;4;2;2;4;2;4;3;2;;2;5;;;5;1;4;2;2;4;2;2;2;73;;1;86,1;0,7803;2;;2;4;1
444;1;3;5;2;5;5;4;6;6;6;1;6;4;3;4;6;3;6;2;2;3;2;2;1;3;4;4;3;3;5;5;5;3;3;1;4;4;1;2;4;2;2;2;2;2;2;2;2;1;2;2;1;2;1;1;1;4;4;1;1;1;2;2;2;1;4;4;3;3;3;3;3;4;3;4;2;3;2;4;3;1;1;1;1;1;1;4;1;1;1;3;1;2;1;1;1;2;1;1;4;4;4;4;4;4;4;4;4;2;4;2;1;2;3;4;4;1;1;2;1;3;2;3;2;2;1;3;2;3;2;1;3;3;3;3;3;2;2;2;2;1;1;2;1;3;2;4;3;1;1;4;3;3;2;1;7;;7;4;3;2;4;7;;;7;1;4;2;1;3;3;2;2;99;4;2;52,78333333;1,6001;2;4;3;3;2
445;2;3;4;5;4;4;4;6;6;2;6;6;4;6;5;6;6;5;4;2;4;2;2;3;2;1;2;2;1;3;1;1;1;4;3;3;4;3;1;2;2;3;2;3;2;2;1;4;1;2;2;1;1;1;2;1;4;4;1;1;1;1;1;1;1;4;4;4;2;4;3;3;3;3;4;4;3;3;3;3;4;2;1;1;1;2;1;1;1;2;1;2;2;2;1;1;1;1;1;5;5;4;5;4;5;5;5;2;4;2;2;3;2;2;4;3;3;3;1;2;3;1;3;2;3;2;2;2;3;2;2;3;3;3;3;3;1;2;2;2;2;1;3;2;3;1;2;1;3;3;3;3;3;2;1;4;1;3;3;1;;1;9;;;17;2;1;2;3;3;1;1;1;25;;2;13,98333333;2,4727;2;;1;3;2
446;4;3;5;3;4;5;2;4;5;2;2;6;3;2;1;5;5;2;3;2;3;1;2;2;2;2;2;2;1;2;1;1;2;3;4;3;3;3;2;2;4;1;2;2;4;4;4;4;2;1;2;2;1;2;2;3;4;4;1;4;1;2;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;3;1;1;2;2;2;3;1;1;2;3;2;3;1;2;2;2;4;2;4;2;4;4;2;4;4;2;4;1;2;3;1;3;3;2;2;1;2;4;1;2;3;2;1;2;2;2;2;2;3;4;3;2;3;2;2;2;2;1;1;1;1;2;3;2;3;1;1;4;4;4;1;1;8;;8;4;1;;1;8;;4;15;1;2;1;3;3;3;3;1;47;;2;11;0,4474;1;;3;3;2
448;4;1;2;4;4;5;4;5;5;3;4;6;5;5;2;4;5;2;2;1;3;1;2;1;1;1;1;1;1;2;2;1;1;2;3;4;3;2;3;3;2;1;1;2;4;1;2;4;2;2;1;1;1;1;1;1;4;3;1;1;1;1;-1;1;1;4;4;3;3;3;3;3;2;3;4;3;1;3;4;3;3;2;3;1;1;1;1;1;1;3;1;3;1;3;1;1;1;1;2;3;1;3;2;3;3;3;3;3;1;3;3;3;3;1;3;2;3;3;2;3;3;2;1;1;3;1;2;2;3;2;1;4;4;1;3;2;1;1;1;1;2;2;1;2;3;1;3;3;2;1;4;4;1;2;1;3;;3;2;2;;2;9;;;17;2;2;2;1;3;1;3;2;33;;990;12,15;0,6785;2;;1;3;5
449;2;2;4;4;4;4;4;3;6;5;6;6;6;6;4;5;6;2;3;3;1;1;3;3;3;3;3;3;2;4;2;2;3;4;4;3;4;3;3;3;1;1;1;1;1;1;1;1;1;2;1;3;1;1;1;1;4;4;1;4;1;1;1;1;1;4;2;3;1;3;1;3;1;1;3;2;3;1;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;1;5;4;4;5;4;4;4;4;3;3;2;3;2;2;2;3;3;2;2;2;2;3;2;3;2;2;2;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;3;4;2;2;2;2;1;4;2;4;3;1;;1;4;;;4;2;2;2;1;4;6;1;1;31;;990;13,68333333;1,538;2;;4;4;5
450;4;4;8;2;2;2;1;6;6;5;1;4;6;6;1;6;3;3;4;4;4;4;4;4;4;4;4;4;4;5;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;-1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;1;3;4;1;4;4;4;3;3;1;3;4;1;1;3;1;4;2;-1;1;1;1;4;4;3;3;3;3;1;1;3;1;2;2;3;3;3;4;1;4;1;1;1;4;2;4;3;3;1;3;5;;;5;1;4;1;1;3;3;2;2;74;;1;15,95;0,3116;1;;3;3;1
452;4;4;8;1;2;2;1;6;6;2;6;1;6;6;5;6;4;2;4;3;4;4;3;3;3;4;3;4;4;5;5;3;4;4;4;4;4;4;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;2;2;1;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;2;3;4;1;4;1;1;4;4;2;4;4;1;3;4;3;3;3;2;4;4;2;3;4;3;4;2;2;3;1;4;4;4;4;4;4;4;2;1;3;1;4;2;4;4;4;4;1;2;2;1;1;8;;8;4;1;;1;8;;1;12;1;3;1;1;3;3;2;2;60;;1;13,4;0,2799;1;;3;3;1
453;1;3;3;4;3;4;4;5;5;3;5;5;6;6;5;4;6;1;4;3;4;3;2;1;2;1;3;4;3;5;3;3;4;4;4;4;3;3;2;3;3;3;3;4;4;2;4;1;3;4;3;3;3;3;4;2;4;4;4;3;2;3;3;4;2;4;3;3;4;4;4;4;2;4;4;3;3;4;4;4;4;2;4;3;2;3;4;4;4;3;4;4;2;3;4;3;3;4;4;5;3;4;5;4;4;4;3;3;2;3;2;2;2;2;3;2;2;3;3;3;3;2;3;2;2;3;2;3;3;2;2;3;2;3;3;2;3;2;3;2;1;1;1;2;4;2;3;2;2;2;3;3;1;1;1;2;;2;1;1;;1;3;;;3;2;2;1;1;3;1;3;2;40;;2;14,63333333;2,8099;1;;1;3;2
454;4;4;8;1;2;1;1;5;5;6;1;1;6;6;1;6;6;1;4;4;4;4;3;3;3;4;2;4;4;5;5;5;4;4;4;4;4;2;1;1;4;4;4;4;4;4;4;4;4;4;4;3;1;3;3;1;4;1;3;1;2;2;1;1;1;4;4;1;2;4;4;4;2;2;4;4;4;4;4;3;1;3;3;4;4;3;4;3;4;2;2;4;3;2;4;4;2;4;1;2;1;1;4;4;1;1;1;1;1;1;3;2;4;3;4;1;4;4;3;3;2;2;2;3;2;2;4;2;4;2;2;3;1;4;4;4;4;4;4;4;1;2;3;1;2;3;3;2;4;3;1;2;1;2;2;4;2;4;3;3;1;3;9;;;17;1;3;2;1;3;3;2;2;62;;5;12,83333333;1,9468;2;;3;3;1
456;4;3;5;2;2;1;1;1;2;2;1;2;4;3;1;5;4;2;2;1;3;1;3;3;2;1;3;3;2;5;4;2;3;4;4;1;1;2;1;1;4;4;4;4;3;2;4;4;4;4;3;3;2;2;3;1;2;2;2;4;1;3;2;3;1;4;1;1;4;4;4;4;4;4;4;3;1;1;4;3;3;2;4;3;4;2;4;4;4;2;4;3;2;3;4;1;4;4;4;4;4;5;4;4;4;4;4;3;2;2;4;1;1;3;4;1;3;4;3;4;2;2;3;2;2;3;3;3;3;2;1;3;2;2;2;3;3;3;3;4;2;2;2;2;4;3;2;4;3;2;2;3;3;1;2;3;;3;2;1;;1;1;;;1;2;2;1;1;3;6;1;2;37;;1;13,26666667;0,4042;1;;4;3;1
457;1;2;7;5;5;6;2;3;1;3;5;5;5;5;2;5;6;2;2;2;2;2;2;2;2;2;2;2;3;5;4;3;3;4;2;3;4;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;4;2;2;2;2;2;4;4;2;2;3;2;3;3;3;4;3;3;3;4;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;4;3;3;4;2;4;1;4;1;4;4;1;1;3;3;4;2;2;2;2;3;3;2;2;2;2;3;2;3;1;3;3;3;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;3;1;3;1;3;3;2;1;4;4;4;2;1;6;;6;4;1;;1;7;;;7;1;3;2;999;3;1;1;2;99;3;7;9,5;0,284;2;3;1;3;4
458;2;1;1;5;4;2;4;6;6;6;2;6;6;6;2;6;6;6;4;4;4;3;3;3;3;4;3;4;4;5;5;5;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;4;3;4;4;3;3;3;4;4;3;2;4;3;4;4;4;4;3;2;3;4;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;3;4;4;3;5;4;4;5;4;4;5;5;3;3;3;3;2;2;3;4;3;3;3;3;4;3;2;3;3;3;3;4;3;3;1;2;4;4;3;4;3;3;2;3;3;2;2;2;2;3;2;3;3;3;3;1;3;1;2;2;3;;3;2;3;1;3;5;;;5;2;4;2;1;1;3;2;2;70;;996;28,85;0,9593;2;;3;1;5
459;1;3;2;2;3;4;2;6;6;4;4;2;2;4;1;5;4;1;2;2;3;2;2;1;2;2;2;2;1;2;1;2;3;2;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;3;3;2;1;2;1;4;2;1;2;3;2;3;1;3;4;2;2;4;3;3;1;2;1;1;1;2;2;2;1;2;1;2;2;1;1;1;2;2;1;5;5;3;5;3;3;5;5;2;2;2;1;3;2;3;4;3;3;2;2;2;3;3;2;4;1;2;3;2;2;2;2;3;3;2;3;3;2;2;2;2;1;2;3;1;4;4;4;3;1;2;2;2;1;2;1;5;;5;3;1;;1;6;;;6;1;3;2;5;3;3;2;2;60;;2;19,15;2,1828;2;;3;3;2
460;1;2;2;3;5;5;4;5;5;3;3;3;3;4;4;4;4;4;4;2;4;3;3;3;2;2;2;3;1;1;1;1;1;2;2;3;3;2;2;3;1;1;2;2;2;1;1;1;2;3;2;2;1;1;3;1;4;3;2;3;1;1;2;2;1;4;4;3;4;4;3;3;3;3;4;3;3;2;3;3;4;2;4;2;3;2;3;4;4;4;2;1;1;1;4;2;1;2;1;2;2;3;2;3;3;2;3;2;1;1;2;3;3;2;3;3;1;2;3;2;3;1;3;1;3;2;3;2;2;2;2;1;3;2;2;2;1;3;2;2;2;2;2;2;4;4;2;4;1;2;3;2;2;2;2;4;2;4;3;1;;1;3;;;3;1;2;2;1;4;3;2;2;35;;990;14,56666667;0,3991;2;;3;4;5
461;4;3;2;2;6;5;2;2;5;1;1;5;5;4;1;3;4;1;1;1;1;1;2;1;1;1;1;1;1;5;3;5;1;1;1;1;2;1;3;3;2;3;1;1;2;1;1;3;1;1;2;1;1;2;1;1;4;3;2;4;1;1;1;1;1;4;4;3;3;3;1;3;3;4;1;4;4;4;4;3;3;3;3;1;4;3;4;2;4;4;4;2;2;4;4;3;2;2;2;3;4;4;5;4;3;5;5;4;3;3;2;2;2;3;4;3;2;3;3;3;2;2;3;3;2;3;3;3;3;1;2;3;2;2;2;2;2;2;2;2;1;1;1;1;3;2;3;2;1;1;4;4;3;2;1;3;;3;2;3;5;7;1;;;1;2;3;2;1;1;2;2;2;58;;990;14,51666667;2,125;2;;2;1;5
462;2;3;2;2;4;3;1;6;6;3;5;4;5;6;5;4;4;5;3;3;2;3;4;2;3;3;4;2;2;5;3;1;1;3;2;2;2;1;2;1;3;4;1;3;4;3;3;4;2;4;3;3;2;1;3;2;4;4;2;3;2;2;1;2;1;4;4;1;2;3;1;3;3;4;1;2;1;3;3;3;3;4;4;3;4;3;4;4;4;3;3;3;3;4;3;2;2;3;4;5;3;4;5;4;3;5;5;2;1;4;2;2;2;2;4;2;3;2;2;2;3;2;3;1;3;2;3;2;3;2;2;3;2;3;3;3;2;2;3;2;2;2;2;2;3;2;2;2;3;2;3;3;3;2;1;4;2;4;3;1;;1;6;;;6;2;2;2;1;2;3;2;1;33;;990;15,21666667;0,7925;2;;3;2;5
463;2;3;7;1;4;4;4;4;5;5;4;2;3;3;3;5;2;4;4;1;3;1;4;4;4;4;3;4;4;5;5;3;4;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;3;4;3;3;3;3;3;4;3;4;3;3;3;3;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;3;4;2;4;4;2;4;4;4;4;2;2;4;1;4;4;4;4;4;4;4;1;2;2;2;4;4;4;4;4;4;2;4;2;1;1;3;;3;2;1;;1;5;;;5;1;1;1;1;2;3;2;2;25;;990;7,433333333;3,9553;1;;3;2;5
465;4;3;8;2;4;6;2;3;3;3;3;3;3;6;2;2;2;3;4;3;4;4;4;3;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;4;4;3;4;4;4;4;5;3;4;5;4;4;5;5;4;4;4;2;2;2;2;3;3;2;2;3;2;2;2;3;2;2;3;3;2;2;1;2;3;3;3;2;2;2;2;2;2;1;1;1;1;3;3;3;2;1;1;4;4;2;2;2;3;;3;2;3;2;4;4;;;4;1;2;2;2;1;2;2;1;45;;11;12,55;0,19;2;;2;1;4
466;2;1;2;4;7;5;2;5;5;1;5;6;5;5;5;6;6;3;3;2;3;2;2;2;1;1;2;1;1;3;1;1;2;4;3;3;3;3;1;2;2;4;4;3;4;2;2;3;3;1;2;2;3;2;2;3;4;3;2;4;2;3;4;3;3;3;3;2;3;4;2;3;3;3;3;2;3;3;4;3;3;2;3;3;4;3;2;2;4;4;3;2;1;3;3;1;2;2;3;4;1;4;3;4;4;1;4;3;2;4;1;3;2;1;2;3;1;1;1;1;4;2;3;1;2;2;1;2;1;1;1;3;4;3;1;3;1;1;1;1;2;2;3;2;3;2;2;2;1;1;4;4;4;2;2;8;;8;4;3;5;7;1;;;1;1;2;2;1;4;1;5;2;40;;996;16,55;2,2719;2;;1;4;5
